name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
DY3_FDME210438601-1r,BH4_FDSW220017124-1r,0.03750548,0.340451409,0.685249191,0.192996003,0.075489774
DY6_FDME210438604-1r,BH4_FDSW220017124-1r,0.00492095,0.246466216,0.757260223,0.412093581,0.015119475
DY7_FDME210438605-1r,BH4_FDSW220017124-1r,0.00118124,0.248411266,0.752477591,0.397542155,0.003578166
DY10_FDME210438608-1r,BH4_FDSW220017124-1r,0.00302242,0.250556956,0.751715043,0.39522206,0.009067793
DY11_FDME210438609-1r,BH4_FDSW220017124-1r,0.00085934,0.211206187,0.789472238,0.510100431,0.003212146
DY13_FDME210438611-1b,BH4_FDSW220017124-1r,0.00020365,0.215349454,0.784810372,0.495916443,0.000742173
DY15_FDME210438613-1r,BH4_FDSW220017124-1r,0.00039961,0.232859659,0.767447021,0.443087479,0.001317014
LYG1_FDME210455382-1r,BH4_FDSW220017124-1r,0.06275387,0.333640381,0.710976122,0.271271624,0.133726328
LYG3_FDME210455384-1r,BH4_FDSW220017124-1r,0.05205476,0.29013886,0.748841927,0.386480444,0.134352175
LYG5_FDME210455386-1r,BH4_FDSW220017124-1r,0.05188454,0.29494749,0.743635706,0.370640229,0.130813782
LYG6_FDME210455387-1r,BH4_FDSW220017124-1r,0.05682127,0.328967344,0.711458639,0.27273971,0.122887527
LYG7_FDME210455388-1r,BH4_FDSW220017124-1r,0.05160535,0.324489443,0.712267364,0.275200299,0.113275817
LYG11_FDME210455392-2r,BH4_FDSW220017124-1r,0.0430253,0.234250966,0.800176885,0.542669914,0.146969941
LYG13_FDME210455394-1a,BH4_FDSW220017124-1r,0.05383545,0.283654987,0.75710405,0.411618414,0.143692299
LYG15_FDME210455396-1a,BH4_FDSW220017124-1r,0.03851422,0.125463069,0.909568242,0.875499211,0.27921612
NB1_FDME210455352-1r,BH4_FDSW220017124-1r,0.02693847,0.333855669,0.684586032,0.190978305,0.055238542
NB2_FDME210455353-1r,BH4_FDSW220017124-1r,0.03099727,0.318742227,0.703050416,0.247157223,0.068370745
NB4_FDME210455355-1r,BH4_FDSW220017124-1r,0.02612748,0.32289207,0.69527368,0.223496069,0.056259509
