,NH4+ -N,NO3- -N,NO2- -N,TN,TP,pH,SO42-,Temperature,TOC,Salinity,Moisture,PCNM1,PCNM2,PCNM3,PCNM4,PCNM5,PCNM6,PCNM7
XM6_FDME220007440-1r,0.014559228,0.1070208,0.000175023,1.1883984,0.017499125,7.83,2.69245875,21,31.93,8.5,49.31818182,-0.020481484,-0.207485483,0.00868033,-0.148499352,0.050910846,-0.008981976,0.000197497
XM8_FDME220007442-1r,0.018742716,0.0351828,0.000113235,1.5655479,0.015045625,7.9,2.63585875,21,Na,7.9,34.08114058,-0.020481484,-0.207485483,0.00868033,-0.148499352,0.050910846,-0.008981976,0.000197497
XM10_FDME220007444-1r,0.020369628,0.0567342,0.000128682,0.7777245,0.017499125,7.87,2.86791875,19,21.56,7.8,31.31844535,-0.020481484,-0.207485483,0.00868033,-0.148499352,0.050910846,-0.008981976,0.000197497
XM12_FDME220007446-1r,0.013048524,0.0531423,0.000136406,1.5152613,0.017499125,7.6,2.94149875,20,Na,8,44.20798826,-0.020481484,-0.207485483,0.00868033,-0.148499352,0.050910846,-0.008981976,0.000197497
XM14_FDME220007448-1r,0.014094396,0.0567342,0.000144129,1.2470661,0.01688575,7.66,2.65849875,20,20.67,7.2,31.24868615,-0.020481484,-0.207485483,0.00868033,-0.148499352,0.050910846,-0.008981976,0.000197497
XM15_FDME220007449-1r,0.014501124,0.0675099,0.000136406,0.6101025,0.0181125,7.55,2.53963875,21,25.65,8.5,44.1456524,-0.020481484,-0.207485483,0.00868033,-0.148499352,0.050910846,-0.008981976,0.000197497
YC1_FDME220007405-1r,0.005262588,0.0315909,0.000051447,1.3811637,0.005538313,8.06,1.30575875,24,15.11,2.9,29.41563185,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC3_FDME220007407-1r,0.003577572,0.0459585,0.000051447,1.1129685,0.0033915,8.13,1.22085875,23,Na,2.8,26.67849977,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC5_FDME220007409-1r,0.005553108,0.0315909,4.37E-05,1.4649747,0.00461825,7.96,1.50951875,24,16.52,3.3,33.73595938,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC7_FDME220007411-1a,0.006192252,0.0603261,0.000066894,1.3392582,0.022099438,7.98,1.59441875,24,Na,3.2,28.19226912,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC9_FDME220007413-1r,0.007121916,0.0423666,5.92E-05,1.3895448,0.018725875,8.01,1.75855875,25,19.59,3.8,33.53242321,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC11_FDME220007415-1r,0.006134148,0.0351828,0.000051447,1.2051606,0.005845,7.94,1.54347875,25,Na,3.9,33.8435505,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC13_FDME220007417-1r,0.006657084,0.0459585,7.46E-05,1.2219228,0.005538313,8.22,1.63403875,24,14.34,3.6,32.98380879,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
YC15_FDME220007419-1r,0.002996532,0.0423666,0.000051447,1.5906912,0.002778125,8.22,1.48121875,23,13.81,3.8,32.21851478,0.091626686,-0.013923988,-0.034030301,-0.079547392,0.103005875,-0.093254165,0.013497358
ZH1_FDSW220008784-1r,0.00601794,0.0531423,0.000097788,1.490118,0.005231625,7.59,1.59441875,24,11.52,2.9,50.05148367,-0.153952343,-0.005880225,-0.071385257,0.180424061,0.11107563,-0.001264495,-3.39E-07
ZH3_FDSW220008786-1r,0.006773292,0.0603261,0.000113235,1.8840297,0.009218563,7.96,2.14343875,22,Na,4,58.58585859,-0.153952343,-0.005880225,-0.071385257,0.180424061,0.11107563,-0.001264495,-3.39E-07
ZH5_FDSW220008788-1r,0.006424668,0.0423666,0.000082341,2.0684139,0.005845,7.54,1.69063875,22,13.21,2.9,50.78020048,-0.153952343,-0.005880225,-0.071385257,0.180424061,0.11107563,-0.001264495,-3.39E-07
