name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
WZ5_L1,BH4_FDSW220017124-1r,0.0094689,0.19398522,0.813719812,0.306439962,0.039719683
WZ7_FDME210455463-1r,BH4_FDSW220017124-1r,0.0087455,0.193721939,0.813391577,0.305037809,0.03672024
WZ10_L1,BH4_FDSW220017124-1r,0.0110645,0.19075032,0.818303802,0.326021863,0.047465831
WZ11_L1,BH4_FDSW220017124-1r,0.0073694,0.180924387,0.825156521,0.355295321,0.03361022
WZ14_L1,BH4_FDSW220017124-1r,0.0105795,0.189856507,0.818806052,0.328167372,0.045626872
WZ15_FDME210455471-1r,BH4_FDSW220017124-1r,0.0084562,0.193267619,0.81361245,0.305981336,0.035598667
XM2_FDME220007436-1r,BH4_FDSW220017124-1r,0.0351429,0.171592908,0.858580086,0.498074177,0.175840567
XM4_FDME220007438-1r,BH4_FDSW220017124-1r,0.0400156,0.162749234,0.872150387,0.556043818,0.214438005
XM6_FDME220007440-1r,BH4_FDSW220017124-1r,0.0432356,0.156148844,0.881984276,0.598052242,0.244210066
XM8_FDME220007442-1r,BH4_FDSW220017124-1r,0.0408167,0.155368609,0.880573495,0.592025668,0.231334402
XM10_FDME220007444-1r,BH4_FDSW220017124-1r,0.038343,0.166883246,0.866334623,0.531200022,0.199048552
XM12_FDME220007446-1r,BH4_FDSW220017124-1r,0.0225152,0.152000905,0.867531746,0.536313895,0.128503516
XM14_FDME220007448-1r,BH4_FDSW220017124-1r,0.0405426,0.165976234,0.869266072,0.543722594,0.212333451
XM15_FDME220007449-1r,BH4_FDSW220017124-1r,0.0318054,0.16948477,0.857797833,0.494732546,0.160973775
YC1_FDME220007405-1r,BH4_FDSW220017124-1r,0.0108083,0.186766272,0.822119442,0.342321519,0.04757665
YC3_FDME220007407-1r,BH4_FDSW220017124-1r,0.0113085,0.185130155,0.8241902,0.351167389,0.050344877
YC5_FDME220007409-1r,BH4_FDSW220017124-1r,0.0110135,0.184037213,0.82504947,0.354838019,0.049374158
