name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
XM2_FDME220007436-1r,BH2_FDSW220017122-1r,0.155497,0.348667111,0.771261782,0.495941179,0.343963883
XM4_FDME220007438-1r,BH2_FDSW220017122-1r,0.13303653,0.380663588,0.714374289,0.323859282,0.249663691
XM6_FDME220007440-1r,BH2_FDSW220017122-1r,0.1327411,0.38150058,0.713165837,0.320203776,0.248142264
XM8_FDME220007442-1r,BH2_FDSW220017122-1r,0.12625973,0.388801476,0.699519691,0.278924849,0.227162634
XM10_FDME220007444-1r,BH2_FDSW220017122-1r,0.13463847,0.382352441,0.713745108,0.321956042,0.251332381
XM12_FDME220007446-1r,BH2_FDSW220017122-1r,0.13283572,0.379334493,0.715741551,0.327995184,0.250639069
XM14_FDME220007448-1r,BH2_FDSW220017122-1r,0.14347927,0.368554338,0.737221693,0.392971567,0.287002538
XM15_FDME220007449-1r,BH2_FDSW220017122-1r,0.14757018,0.364584926,0.74541629,0.417759825,0.301716303
YC1_FDME220007405-1r,BH2_FDSW220017122-1r,0.03175189,0.371182457,0.649438441,0.127431505,0.055554613
YC3_FDME220007407-1r,BH2_FDSW220017122-1r,0.03369559,0.38768305,0.633668794,0.079729092,0.055075516
YC5_FDME220007409-1r,BH2_FDSW220017122-1r,0.03302181,0.37524138,0.646093807,0.117314152,0.056857234
YC7_FDME220007411-1a,BH2_FDSW220017122-1r,0.03067426,0.374306654,0.645493377,0.115497881,0.052897889
YC9_FDME220007413-1r,BH2_FDSW220017122-1r,0.03313394,0.384297021,0.636802764,0.089209198,0.054904887
YC11_FDME220007415-1r,BH2_FDSW220017122-1r,0.02998075,0.357658659,0.662194427,0.166017741,0.055508472
YC13_FDME220007417-1r,BH2_FDSW220017122-1r,0.03170737,0.369804055,0.65083212,0.131647317,0.055802998
YC15_FDME220007419-1r,BH2_FDSW220017122-1r,0.03184933,0.378334383,0.642116601,0.105283296,0.054055313
ZH1_FDSW220008784-1r,BH2_FDSW220017122-1r,0.04978938,0.316245563,0.719581977,0.339612287,0.113290255
ZH3_FDSW220008786-1r,BH2_FDSW220017122-1r,0.06718527,0.356490981,0.689857266,0.249696483,0.130012396
ZH5_FDSW220008788-1r,BH2_FDSW220017122-1r,0.05281649,0.327025785,0.71050035,0.312140807,0.114749773
ZH7_FDSW220008790-1r,BH2_FDSW220017122-1r,0.06300888,0.346562943,0.697378068,0.272446541,0.126790852
ZH9_FDSW220008792-2r,BH2_FDSW220017122-1r,0.0645494,0.339141807,0.706459745,0.299918175,0.134461608
ZH11_FDSW220008794-2r,BH2_FDSW220017122-1r,0.06109187,0.342453068,0.700331492,0.281380508,0.124935544
ZH13_FDSW220008796-2r,BH2_FDSW220017122-1r,0.06138787,0.344439923,0.698435547,0.275645367,0.124478807
ZH15_FDSW220008798-2r,BH2_FDSW220017122-1r,0.06366299,0.346110341,0.69834862,0.275382416,0.128453143
