name1,name2,C.ij.bray,E.ij.bray,ST.ij.bray,NST.ij.bray,MST.ij.bray
CXD_1609_FDSW210423241-1r,BH2_FDSW220017122-1r,0.0476485,0.364613386,0.667176577,0.091046687,0.087188141
CXD_1610_FDSW210423242-1r,BH2_FDSW220017122-1r,0.0491679,0.366152423,0.666624083,0.089297593,0.089516016
CXD_1611_FDSW210423243-1r,BH2_FDSW220017122-1r,0.053214,0.36122537,0.674676886,0.114791261,0.099390184
CXD_1612_FDSW210423244-1r,BH2_FDSW220017122-1r,0.055345,0.350814536,0.687219634,0.154499255,0.108416746
CXD_1613_FDSW210423245-1r,BH2_FDSW220017122-1r,0.0539625,0.354557728,0.682258655,0.138793723,0.103837485
BH6_FDSW220017126-1r,BH4_FDSW220017124-1r,0.7730198,0.320084931,0.414070806,-0.710238818,0.138231786
BH8_FDSW220017128-1r,BH4_FDSW220017124-1r,0.6966779,0.298017692,0.427769693,-0.666870704,0.184836569
BH10_FDSW220017130-1r,BH4_FDSW220017124-1r,0.85068,0.323698064,0.380516838,-0.816464401,0.084013916
BH12_FDSW220017132-1r,BH4_FDSW220017124-1r,0.7027301,0.298317291,0.424511901,-0.677184264,0.179845689
BH14_FDSW220017134-1r,BH4_FDSW220017124-1r,0.594145,0.262760714,0.442250148,-0.621028294,0.24346157
BH15_FDSW220017135-1r,BH4_FDSW220017124-1r,0.631785,0.270473574,0.428110154,-0.665792869,0.216080699
DD1_FDSW220008388-1r,BH4_FDSW220017124-1r,0.0478713,0.349870094,0.682817256,0.14056215,0.093427104
DD3_FDSW220008390-2r,BH4_FDSW220017124-1r,0.0499071,0.338407776,0.696344772,0.183387734,0.102694296
DD5_FDSW220008392-2r,BH4_FDSW220017124-1r,0.0532294,0.34202854,0.694963975,0.179016388,0.108156224
DD7_FDSW220008394-1r,BH4_FDSW220017124-1r,0.0480483,0.341650994,0.691578161,0.168297536,0.097260525
DD9_FDSW220008396-1r,BH4_FDSW220017124-1r,0.0546889,0.340928831,0.697200286,0.186096131,0.111838933
DD11_FDSW220008398-1r,BH4_FDSW220017124-1r,0.051831,0.338847801,0.697293624,0.186391622,0.106659762
DD13_FDSW220008400-2r,BH4_FDSW220017124-1r,0.0489493,0.342326284,0.691523297,0.168123847,0.098881047
DD15_FDSW220008402-2r,BH4_FDSW220017124-1r,0.0488072,0.332740949,0.701497164,0.199699241,0.102897201
