,BH2_FDSW220017122.1r,BH4_FDSW220017124.1r,BH6_FDSW220017126.1r,BH8_FDSW220017128.1r,BH10_FDSW220017130.1r,BH12_FDSW220017132.1r,BH14_FDSW220017134.1r,BH15_FDSW220017135.1r,DD1_FDSW220008388.1r,DD3_FDSW220008390.2r,DD5_FDSW220008392.2r,DD7_FDSW220008394.1r,DD9_FDSW220008396.1r,DD11_FDSW220008398.1r,DD13_FDSW220008400.2r,DD15_FDSW220008402.2r,DY2_FDME210438600.1b,DY3_FDME210438601.1r,DY6_FDME210438604.1r,DY7_FDME210438605.1r,DY10_FDME210438608.1r,DY11_FDME210438609.1r,DY13_FDME210438611.1b,DY15_FDME210438613.1r,LYG1_FDME210455382.1r,LYG3_FDME210455384.1r,LYG5_FDME210455386.1r,LYG6_FDME210455387.1r,LYG7_FDME210455388.1r,LYG11_FDME210455392.2r,LYG13_FDME210455394.1a,LYG15_FDME210455396.1a,NB1_FDME210455352.1r,NB2_FDME210455353.1r,NB4_FDME210455355.1r,NB6_FDME210455357.1r,NB7_FDME210455358.1r,NB11_FDME210455362.1b,NB12_FDME210455363.1r,NB15_FDME210455366.1r,SY1_FDME210455397.2a,SY3_FDME210455399.2a,SY7_FDME210455403.2a,SY9_FDME210455405.2a,SY11_FDME210455407.1r,SY12_FDME210455408.1r,SY13_FDME210455409.2a,SY15_FDME210455411.2a,ST1_FDME220007465.1r,ST3_L1,ST7_FDME220007471.1r,ST9_L1,ST10_L1,ST12_L1,ST13_L1,ST15_L1,WZ1_L1,WZ3_L1,WZ5_L1,WZ7_FDME210455463.1r,WZ10_L1,WZ11_L1,WZ14_L1,WZ15_FDME210455471.1r,XM2_FDME220007436.1r,XM4_FDME220007438.1r,XM6_FDME220007440.1r,XM8_FDME220007442.1r,XM10_FDME220007444.1r,XM12_FDME220007446.1r,XM14_FDME220007448.1r,XM15_FDME220007449.1r,YC1_FDME220007405.1r,YC3_FDME220007407.1r,YC5_FDME220007409.1r,YC7_FDME220007411.1a,YC9_FDME220007413.1r,YC11_FDME220007415.1r,YC13_FDME220007417.1r,YC15_FDME220007419.1r,ZH1_FDSW220008784.1r,ZH3_FDSW220008786.1r,ZH5_FDSW220008788.1r,ZH7_FDSW220008790.1r,ZH9_FDSW220008792.2r,ZH11_FDSW220008794.2r,ZH13_FDSW220008796.2r,ZH15_FDSW220008798.2r,CXD_1412_FDSW210423229.1r,CXD_1414_FDSW210423231.1r,CXD_1604_FDSW210423236.1r,CXD_1609_FDSW210423241.1r,CXD_1610_FDSW210423242.1r,CXD_1611_FDSW210423243.1r,CXD_1612_FDSW210423244.1r,CXD_1613_FDSW210423245.1r
GX_BH_contig_1361191||full,11.38202187,18.78198,13.51275969,14.77654609,7.779003972,12.8122625,6.949168403,4.976533236,1.074932279,0,0,0,0,0,0.321773334,0,0,0,0,0,0,0,0,0,0,1.070980632,0,0,0,0,0,0,8.909205495,3.826749432,8.677820907,13.45722481,8.683358267,17.58658906,14.5449551,15.2525108,0,0,0,0,0,0,0,0,4.168046121,6.138221765,4.332110203,5.795496865,1.46612004,3.069963124,1.333440973,3.943042755,5.926694686,2.213994348,5.63739717,8.392049829,7.864722938,4.861936476,3.387679329,0.941658715,4.566900525,6.687265463,0.761819289,0.998910883,3.078801568,5.071980828,4.189868267,7.112287999,13.02254515,15.40702793,16.1136558,15.93572576,9.610389069,15.37690426,12.0042399,14.13602456,4.607417997,13.13009296,6.144037607,4.813290342,7.242653534,5.036400573,5.344592873,8.729563769,0.238056872,0,0,0,0.876637414,0.817892947,1.814165157,0.025974198
FJ_XM_contig_3136460||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10816412,33.96342753,0.33997774,0.670687612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD_DY_contig_1852144||full_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17873173,1.002397349,12.11423995,25.90739433,29.65461338,15.34987689,38.37753509,13.62589027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN_SY_contig_17411836||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271866691,2.645670005,28.56118315,12.33962728,0.65099053,9.571163163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_YC_contig_5163691||0_partial_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.404688339,0.145097943,0.148898123,0.563867361,0.426276779,0.872910799,2.375337315,0.820060948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810247516,2.506301738,0.586628921,0.078910733,2.032077884,0.838401137,1.584747048,0,0,0,0,0,0,0,0,0,9.702290245,8.30896099,6.891821189,7.802994396,6.390041039,7.574940464,6.155145813,13.09862878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZJ_NB_contig_17975846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.394556885,1.570966979,7.854358177,8.233693426,4.68767359,11.25459416,17.22484148,17.31447349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033140357,0.616271159,0.675007755,1.178851202,0.29704343,0.737895864,0.101316066,0.242051969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN_SY_contig_13119881||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.320438937,0,0,133.8086263,54.3838819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS_YC_contig_23555658,0,0,0,0,0,0,0,0.177788624,3.90453909,0.545896186,4.010585895,0.672816815,2.435876262,1.149955356,2.593422061,0.580898052,0,0,0,0,0,0,0,0,7.651426223,0.516296995,2.241379159,4.603008694,4.747322836,5.63770058,15.76135473,8.770545145,9.174026208,2.37135509,8.960488353,8.713140694,6.826225292,6.912541209,14.04121266,12.60765004,0,0,0,0,0,0,0,0,18.07579431,0.682027621,2.478276565,0,2.991002578,1.901558859,0.118891513,0,27.32955765,24.71185676,29.97656576,38.76167955,28.79219763,48.07881814,18.26169623,30.87343965,21.45771446,14.80343779,8.038605811,9.284386201,10.861284,48.56353586,12.76090917,25.01013707,4.099515277,5.260408456,4.143359642,5.65946596,3.845490166,5.000741223,4.36016409,4.514956478,0,0,0,0,0,0,0,0,1.375591681,3.342358205,1.225571427,0.874669618,2.00484887,2.228083033,2.310038214,2.226362614
SD_DY_contig_23656998||full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.355624523,22.86658948,5.478490841,0,0,20.08109166,9.250298654,2.633944638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.267457198,0,0.386155583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZJ_NB_contig_4748618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119100248,1.498493969,0,0,0,0,4.24822764,3.31622167,8.995298719,8.855169786,4.003621769,10.20480533,7.891823829,8.879966155,0,0,0,0,0,0,0,0,0.814718343,0,0,0,0,0,0,0,8.685371089,6.609753394,6.691607072,3.189944614,4.28613172,5.266073712,4.853916591,6.122729597,0,0,0,0,0,0.807523972,0,0,3.283652006,3.422264588,2.527850144,2.569349882,3.79469809,7.156996744,4.519388123,5.41474579,0,0,0,0,0,0,0,0,2.57967895,4.937748267,2.829411637,0.464647114,19.61825805,16.14688404,14.77897858,21.52006824
