,BH2,BH6,BH10,BH14,BH15,DD1,DD5,DD9,DD13,DD15,DY2,DY6,DY10,DY13,DY15,LYG1,LYG5,LYG7,LYG13,LYG15,NB1,NB4,NB7,NB12,NB15,SY1,SY7,SY11,SY13,SY15,ST1,ST7,ST10,ST13,ST15,WZ1,WZ5,WZ10,WZ14,WZ15,XM2,XM6,XM10,XM14,XM15,YC1,YC5,YC9,YC13,YC15,ZH1,ZH5,ZH9,ZH13,ZH15,QD4,QD9,QD10,QD12,QD13
C20H36O6,1524,1738,1802,1406,1588,652,1804,1728,1364,1046,0,124,15,212,59,854,1113,1042,1588,917,1222,848,620,739,100,1160,1286,702,1338,899,1258,1152,1775,420,452,750,786,177,653,0,1716,1622,1223,1722,1477,1258,1385,1308,1335,1537,1115,779,1072,1247,1350,653,996,405,264,727
C20H36O6N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
C20H36O6S,0,0,20,0,0,8,0,45,102,5,0,0,0,0,0,0,121,0,20,26,0,0,0,0,0,109,65,0,20,6,161,382,18,0,0,0,0,0,0,0,0,7,0,0,0,53,124,140,85,72,191,0,47,199,0,0,42,0,0,0
C20H36O7,825,854,1129,782,879,88,497,320,666,215,0,0,0,0,21,461,768,341,531,297,723,533,111,322,22,535,600,112,385,198,835,820,616,73,224,420,423,43,0,0,1082,542,668,1219,750,728,804,874,738,971,671,291,508,836,416,289,329,77,0,252
C20H36O7S,0,0,11,0,0,7,131,25,152,7,0,0,0,0,0,320,191,27,0,38,15,0,0,0,0,131,106,5,32,12,177,528,38,4,0,0,0,0,0,0,0,0,0,0,0,100,236,121,126,135,279,0,69,282,14,0,35,0,0,0
C20H36O8,486,470,525,469,442,69,276,214,517,117,0,0,0,0,6,471,449,140,186,112,408,349,26,203,6,379,499,79,299,196,719,456,223,35,172,349,311,21,0,0,749,300,584,871,839,413,589,558,569,564,340,213,212,439,124,0,125,35,0,0
C20H36O8S,168,137,121,150,110,4,0,32,182,13,0,0,0,0,0,356,261,23,43,44,55,0,2,0,0,116,118,10,19,3,191,471,40,1,0,0,0,0,0,0,76,19,187,106,0,158,324,254,291,218,208,0,74,414,25,0,75,0,0,0
C20H36O9,168,144,141,245,90,15,123,31,227,29,0,0,0,0,0,170,124,18,43,17,118,156,9,103,0,0,139,0,36,22,328,204,35,3,65,0,0,4,0,0,205,49,204,231,250,131,231,223,175,172,113,89,57,223,20,0,8,0,0,0
C20H36O9N2S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H36O9S,0,86,70,171,0,4,0,0,168,6,0,0,0,0,0,261,149,0,0,14,53,0,0,0,0,119,103,13,16,8,160,373,28,4,0,0,0,0,0,0,0,19,196,74,0,181,418,256,297,259,164,0,39,246,4,0,45,0,0,0
C20H37O10N,0,96,49,0,33,3,0,0,143,3,0,0,0,0,0,0,0,0,0,2,88,110,0,0,0,0,0,0,0,0,84,128,7,2,0,0,0,0,0,0,0,9,0,62,0,22,71,90,60,60,49,0,28,95,0,0,0,0,0,0
C20H37O11N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,4,1,0,0,0,0,0,0,0,4,0,0,0,7,35,0,0,21,0,0,12,83,0,0,0,0,0,0
C20H37O16N3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H37O17N3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
C20H37O18N3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H37O3N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
C20H37O4N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H37O4N3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,113,11,101,10,232,62,11,8,16,271,0,21,2,63,0,0,0,0,0,0,0,0,0,0,29,80,93,75,105,116,0,48,131,18,0,0,0,0,0
C20H37O4NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H37O5N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,0,0,0,0,2,0,0,105,90,9,0,0,0,0,0,0,0,0,0,0,0,0,28,51,82,44,42,0,0,0,0,0,0,0,0,0,0
C20H37O5N3,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,70,96,2,0,0,134,42,4,9,5,291,0,30,10,97,0,0,0,0,0,0,0,0,0,0,43,107,107,124,125,81,98,48,80,12,0,0,0,0,0
C20H37O5NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,65
C20H37O6N,102,0,33,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,6,3,19,0,0,0,0,69,35,3,4,1,141,78,30,0,0,0,0,0,0,0,0,4,0,0,0,44,123,136,105,146,48,80,17,0,13,0,0,0,0,0
C20H37O6N3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,2,0,126,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
C20H37O6NS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H37O6NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0
C20H37O7N,229,211,117,151,104,0,0,0,0,1,0,0,0,0,0,0,94,12,22,20,47,0,2,0,0,0,25,0,4,1,171,172,18,2,0,0,0,0,0,0,44,0,0,77,0,23,106,154,66,100,66,0,37,145,5,0,0,0,0,0
C20H37O7NS2,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,92,0,0,16,0,0,0,0,0,0,0,0,0
C20H37O8N,170,234,171,196,83,0,0,0,126,1,0,0,0,0,0,0,80,11,20,20,55,119,0,0,0,0,0,0,0,0,148,136,15,1,0,0,0,0,0,0,64,14,0,74,0,45,146,149,101,119,74,0,30,183,6,0,0,0,0,0
C20H37O8NS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
C20H37O9N,178,190,145,188,99,0,0,0,121,4,0,0,0,0,0,0,82,27,26,6,85,106,0,0,0,0,0,0,0,0,81,150,7,4,0,0,0,0,0,0,93,23,224,67,0,43,144,148,98,75,75,123,50,186,0,0,0,0,0,0
C20H37O9N3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
C20H38O10S,0,40,0,0,0,0,0,0,127,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,14,0,0,0,0,262,66,7,0,0,0,0,0,0,0,0,0,0,0,127,455,0,0,259,109,0,49,278,16,0,11,0,0,0
C20H38O11S,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,76,4,0,0,0,0,0,0,0,0,0,0,0,0,8,56,0,0,0,0,0,0,76,0,0,8,0,0,0
C20H38O17N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H38O19N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
C20H38O3N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H38O5N2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H38O5N2S,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C20H38O6,549,731,895,552,619,63,320,197,534,106,0,67,4,0,15,408,484,174,223,166,504,342,63,242,11,360,339,25,99,53,386,619,278,30,165,309,0,22,0,0,476,143,399,497,338,402,462,504,480,629,585,256,445,586,164,245,217,23,0,150
C20H38O6N2,0,0,0,0,0,30,184,88,179,40,0,0,0,0,0,0,0,15,14,0,27,0,0,0,0,50,0,3,6,4,120,0,2,0,0,0,0,0,0,0,0,0,0,0,0,81,305,170,139,174,0,0,0,0,3,71,0,0,0,0
C20H38O6S,0,0,0,0,0,1,0,14,196,5,0,0,0,0,0,335,159,19,0,31,0,0,0,17,0,118,78,3,13,12,0,335,9,0,0,0,0,0,0,0,0,0,0,45,0,102,160,155,118,152,135,0,46,229,0,0,24,0,0,0
C20H38O7,286,430,355,308,239,10,190,59,236,30,0,0,0,0,0,267,146,47,54,32,330,221,22,114,0,176,128,4,31,16,309,376,95,10,107,0,0,5,0,0,155,51,263,237,174,188,313,343,306,335,320,147,213,340,50,0,69,0,0,0
C20H38O7S,351,356,294,398,250,142,474,350,939,130,68,214,13,0,108,376,351,53,51,61,442,361,969,1408,101,312,353,38,60,25,437,746,152,22,306,255,514,187,0,294,258,48,280,177,470,330,424,387,448,448,583,557,326,575,125,0,381,70,2964,405
