	Sample	Longitude	Latitude		Type	Richness
147	ST7_FDME220007471-1r	116.7255591	23.32790454	463	mOTUs	463
148	ST9_L1	116.7255591	23.32790454	522	mOTUs	522
149	ST10_L1	116.7255591	23.32790454	496	mOTUs	496
150	ST12_L1	116.7255591	23.32790454	445	mOTUs	445
151	ST13_L1	116.7255591	23.32790454	549	mOTUs	549
152	ST15_L1	116.7255591	23.32790454	559	mOTUs	559
153	WZ1_L1	121.0197392	27.85493975	536	mOTUs	536
154	WZ3_L1	121.0197392	27.85493975	518	mOTUs	518
155	WZ5_L1	121.0197392	27.85493975	522	mOTUs	522
156	WZ7_FDME210455463-1r	121.0197392	27.85493975	510	mOTUs	510
157	WZ10_L1	121.0197392	27.85493975	575	mOTUs	575
158	WZ11_L1	121.0197392	27.85493975	559	mOTUs	559
159	WZ14_L1	121.0197392	27.85493975	521	mOTUs	521
160	WZ15_FDME210455471-1r	121.0197392	27.85493975	516	mOTUs	516
161	XM2_FDME220007436-1r	118.066957	24.55815055	488	mOTUs	488
162	XM4_FDME220007438-1r	118.066957	24.55815055	526	mOTUs	526
163	XM6_FDME220007440-1r	118.066957	24.55815055	514	mOTUs	514
164	XM8_FDME220007442-1r	118.066957	24.55815055	567	mOTUs	567
165	XM10_FDME220007444-1r	118.066957	24.55815055	582	mOTUs	582
166	XM12_FDME220007446-1r	118.066957	24.55815055	537	mOTUs	537
167	XM14_FDME220007448-1r	118.066957	24.55815055	495	mOTUs	495
168	XM15_FDME220007449-1r	118.066957	24.55815055	521	mOTUs	521
169	YC1_FDME220007405-1r	120.9748363	32.82356196	587	mOTUs	587
170	YC3_FDME220007407-1r	120.9748363	32.82356196	581	mOTUs	581
171	YC5_FDME220007409-1r	120.9748363	32.82356196	586	mOTUs	586
172	YC7_FDME220007411-1a	120.9748363	32.82356196	570	mOTUs	570
173	YC9_FDME220007413-1r	120.9748363	32.82356196	594	mOTUs	594
174	YC11_FDME220007415-1r	120.9748363	32.82356196	591	mOTUs	591
