"","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7"
"ST10_L1",-0.12195886370793,-0.144526073981149,-0.125967868858302,0.0435318950885088,-0.176797098091362,0.00994416783580778,0.000168556476336538
"ST12_L1",-0.12195886370793,-0.144526073981149,-0.125967868858302,0.0435318950885088,-0.176797098091362,0.00994416783580771,0.00016855647635096
"ST13_L1",-0.12195886370793,-0.144526073981149,-0.125967868858302,0.0435318950885087,-0.176797098091362,0.00994416783580817,0.000168556476368086
"ST15_L1",-0.12195886370793,-0.144526073981149,-0.125967868858302,0.0435318950885087,-0.176797098091362,0.00994416783580814,0.000168556476364198
"WZ1_L1",0.0825699391656422,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.0544063011875111,0.21211154629964,0.162277474478094
"WZ3_L1",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.014134527305611,0.0544063011875111,0.21211154629964,0.162277474478255
"WZ5_L1",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.0544063011875111,0.212111546299641,0.162277474478238
"WZ7_FDME210455463-1r",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.0544063011875111,0.212111546299641,0.162277474478257
"WZ10_L1",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.0544063011875111,0.212111546299641,0.162277474478086
"WZ11_L1",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.054406301187511,0.21211154629964,0.162277474478156
"WZ14_L1",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.0544063011875111,0.21211154629964,0.162277474478158
"WZ15_FDME210455471-1r",0.0825699391656423,-0.0701766809410492,0.0908099321897847,0.0141345273056109,0.0544063011875111,0.21211154629964,0.162277474478136
"XM2_FDME220007436-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287315,-0.148499352069987,0.0509108459467703,-0.00898197580449169,0.000197497131959187
"XM4_FDME220007438-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287313,-0.148499352069987,0.0509108459467701,-0.0089819758044916,0.000197497131942785
"XM6_FDME220007440-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287316,-0.148499352069987,0.0509108459467702,-0.00898197580449164,0.00019749713194669
"XM8_FDME220007442-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287314,-0.148499352069987,0.0509108459467702,-0.00898197580449169,0.000197497131959028
"XM10_FDME220007444-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287314,-0.148499352069987,0.0509108459467702,-0.0089819758044918,0.000197497131948254
"XM12_FDME220007446-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287314,-0.148499352069987,0.0509108459467702,-0.00898197580449163,0.000197497131928019
"XM14_FDME220007448-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287313,-0.148499352069987,0.0509108459467703,-0.00898197580449164,0.000197497132009232
"XM15_FDME220007449-1r",-0.0204814844356334,-0.20748548265447,0.00868033011287313,-0.148499352069987,0.0509108459467703,-0.00898197580449187,0.00019749713202366
"YC1_FDME220007405-1r",0.0916266856034946,-0.0139239883687924,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097552,0.0134973575857848
"YC3_FDME220007407-1r",0.0916266856034946,-0.0139239883687924,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097552,0.0134973575857848
"YC5_FDME220007409-1r",0.0916266856034946,-0.0139239883687925,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097552,0.0134973575856987
"YC7_FDME220007411-1a",0.0916266856034946,-0.0139239883687925,-0.0340303013364064,-0.0795473915832798,0.103005875331684,-0.0932541651097552,0.013497357585698
