,distv_num,dist_loca_num,Type
1650,-3.202046854,5.970751066,Host
1870,-3.202028399,5.970751066,Host
10071,-3.197607001,6.377449076,Virus
1839,-3.194359175,5.766225705,Host
1706,-3.1942,5.350435739,Host
1938,-3.19152261,5.507657415,Host
1625,-3.187012662,6.255168341,Host
1622,-3.185576627,6.255168341,Host
572,-3.184489702,6.319760596,Host
1651,-3.184295165,5.970751066,Host
10037,-3.183642879,6.377449076,Virus
1425,-3.183491639,6.377449076,Host
7135,-3.180013734,5.794732382,Virus
1842,-3.179101154,5.766225705,Host
1856,-3.178020977,5.350435739,Host
9815,-3.177731196,6.319760596,Virus
1853,-3.177508665,5.350435739,Host
1906,-3.176054048,6.167947556,Host
1649,-3.174809803,5.970751066,Host
3322,-3.174078958,5.794732382,Host
10063,-3.173673221,6.377449076,Virus
1709,-3.17201926,5.350435739,Host
2000,-3.167470197,5.350435739,Host
1430,-3.16683477,6.377449076,Host
1623,-3.16437732,6.255168341,Host
1813,-3.161302768,6.210694031,Host
1907,-3.160804828,6.167947556,Host
1904,-3.160438218,6.167947556,Host
1852,-3.159604083,5.350435739,Host
1836,-3.151007659,5.766225705,Host
1814,-3.149632904,6.210694031,Host
1815,-3.147281855,6.210694031,Host
1900,-3.144129157,6.049067775,Host
1840,-3.143544108,5.766225705,Host
389,-3.1434473,6.319760596,Host
1935,-3.14228645,5.507657415,Host
7123,-3.140046123,5.794732382,Virus
1859,-3.13920715,5.350435739,Host
10059,-3.138904287,6.377449076,Virus
10055,-3.136102788,6.377449076,Virus
7145,-3.133229494,5.794732382,Virus
1431,-3.131443999,6.377449076,Host
7127,-3.131234711,5.794732382,Virus
1903,-3.128823058,6.167947556,Host
7136,-3.128786757,5.794732382,Virus
10067,-3.126480012,6.377449076,Virus
7121,-3.126125001,5.794732382,Virus
1647,-3.123469469,5.970751066,Host
1686,-3.121113739,6.167947556,Host
3275,-3.117764186,5.794732382,Host
298,-3.114749407,6.319760596,Host
1812,-3.114022444,6.210694031,Host
3276,-3.11377559,5.794732382,Host
1939,-3.11328634,5.507657415,Host
1838,-3.112529896,5.766225705,Host
1968,-3.112001097,6.049067775,Host
482,-3.109542148,6.319760596,Host
1872,-3.106763613,5.970751066,Host
7094,-3.102872247,5.794732382,Virus
7132,-3.102111517,5.794732382,Virus
9441,-3.101337319,6.255168341,Virus
1873,-3.092015366,5.970751066,Host
568,-3.090578258,6.319760596,Host
1934,-3.089763047,5.507657415,Host
1901,-3.087782489,6.167947556,Host
9447,-3.086787824,6.255168341,Virus
9444,-3.0861978,6.255168341,Virus
1871,-3.084971708,5.970751066,Host
10049,-3.082111708,6.377449076,Virus
206,-3.080688969,6.319760596,Host
113,-3.078557661,6.319760596,Host
660,-3.077260038,6.319760596,Host
7128,-3.076381027,5.794732382,Virus
19,-3.074850585,6.319760596,Host
1937,-3.072779416,5.507657415,Host
1936,-3.072332292,5.507657415,Host
10036,-3.069814327,6.377449076,Virus
1947,-3.066856925,5.970751066,Host
1946,-3.06613385,5.970751066,Host
10051,-3.065975093,6.377449076,Virus
9904,-3.063225972,6.322060537,Virus
1837,-3.060749887,5.766225705,Host
1902,-3.05825303,6.167947556,Host
1869,-3.043181939,5.970751066,Host
3277,-3.042949446,5.794732382,Host
1933,-3.042367549,5.507657415,Host
3273,-3.041653183,5.794732382,Host
1674,-3.036619492,6.049067775,Host
1857,-3.029265763,5.350435739,Host
7124,-3.02905905,5.794732382,Virus
9788,-3.027375367,6.319760596,Virus
1684,-3.02554157,6.167947556,Host
391,-3.023295717,6.319760596,Host
479,-3.021430242,6.319760596,Host
1682,-3.017287313,6.167947556,Host
7147,-3.014966499,5.794732382,Virus
9807,-3.012086288,6.319760596,Virus
6374,-3.010425708,5.507657415,Virus
1579,-3.009783209,6.377449076,Host
1685,-3.008375907,6.167947556,Host
9839,-3.00741464,6.319760596,Virus
3274,-3.001191089,5.794732382,Host
1652,-2.999139522,5.970751066,Host
10040,-2.99883896,6.377449076,Virus
1855,-2.997967931,5.350435739,Host
1653,-2.997515876,5.970751066,Host
1905,-2.997323208,6.167947556,Host
9443,-2.992902868,6.255168341,Virus
1858,-2.989467416,5.350435739,Host
1681,-2.988964241,6.167947556,Host
9454,-2.985864691,6.255168341,Virus
9448,-2.985450398,6.255168341,Virus
208,-2.983875894,6.319760596,Host
3325,-2.983732918,5.794732382,Host
115,-2.982029445,6.319760596,Host
1948,-2.981472458,5.970751066,Host
21,-2.980371331,6.319760596,Host
3326,-2.979580116,5.794732382,Host
1980,-2.978108774,6.167947556,Host
300,-2.975166228,6.319760596,Host
7151,-2.974967311,5.794732382,Virus
1896,-2.974532436,6.049067775,Host
9445,-2.972513155,6.255168341,Virus
7150,-2.96738808,5.794732382,Virus
483,-2.966360665,6.319760596,Host
656,-2.960477344,6.319760596,Host
9780,-2.959523277,6.319760596,Virus
10033,-2.956938372,6.377449076,Virus
570,-2.952637967,6.319760596,Host
9799,-2.952182551,6.319760596,Virus
7091,-2.949617843,5.794732382,Virus
1967,-2.947006654,6.049067775,Host
1679,-2.946150927,6.167947556,Host
1874,-2.945820567,5.970751066,Host
1970,-2.94328072,6.049067775,Host
1875,-2.94277006,5.970751066,Host
9902,-2.94056194,6.322060537,Virus
9823,-2.935201657,6.319760596,Virus
7148,-2.932877748,5.794732382,Virus
9812,-2.928629329,6.319760596,Virus
1966,-2.926280542,6.049067775,Host
