Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Deinococcus.Thermus NA NA NA 0.0963854764035193 0.430461583266327 0.00849647510412437 0.68807381274193 0.612150570376781 NA NA -0.0142401233419292 -0.104544658706288 0.758163149905552 -0.0304852930308267 0.280277064690938 0.0287875730257558 -0.220072011540398 0.597662402399503 -0.234169838995907 -0.129805237108591 1 -0.121698401777141 -0.235886219599627 0.00914461750993289 0.0672104674878833 -0.0663570248354524 -0.0496675022727238 0.00600014235776276 -0.0115796294361238 -0.281477454404105 -0.119531991992923 -0.281808007214592 0.745986613729957 -0.154682658347686 0.0237625080653059 0.0378380901123357 -0.110672650841646 -0.00979921743388601 -0.355640266498031 0.0233192418887117 -0.108071137486969 -0.0747432331250354 -0.120963170162679 -0.162395513034907 -0.202444467890439 -0.0123162179404091
Thaumarchaeota NA NA NA -0.0279032197576671 -0.0384419760473253 0.0565855089763836 -0.0507793882557585 -0.0556779187273452 NA NA -0.111586504366534 -0.0366349175058447 -0.0790323534862115 -0.132911790437265 -0.0625410688382565 -0.0476348263476068 -0.0904297715540885 -0.0739423754917769 -0.0606052074050347 -0.0734129238691008 -0.121698401777141 1 -0.0826601024168639 -0.0219161104169643 -0.0186150619230837 -0.0484601944247763 -0.102896233319056 -0.0386191321373917 0.0482693636428323 -0.124943943620294 -0.0375261548231735 -0.168147154033139 -0.109040661143041 -0.0630390649483863 -0.0845056785006004 0.212353898167071 -0.0138283698820054 -0.0870974721667481 -0.0115656230431664 -0.0579708806661194 -0.0377161295198415 -0.0672106380634005 -0.211386976520452 -0.374304397345935 -0.075797980214838 -0.214984843824765
Rhodothermaeota NA NA NA -0.0585278614661395 -0.0591638106704248 -0.168439114469806 -0.0910310749913776 -0.162941575755077 NA NA -0.181133474142705 -0.0363922604199617 -0.160845721260788 0.0107168247224604 -0.144831881607885 -0.0523584173249521 0.886624161281187 0.172113998175632 -0.081515113911094 -0.0772984171298185 -0.235886219599627 -0.0826601024168639 1 -0.0361511129697442 -0.0458452956587654 -0.0506297166750214 -0.140982347279995 -0.1145970429272 -0.0857377477859783 0.462644789106543 -0.043286736529384 -0.132888009021592 -0.205165029889768 0.0621939813351376 0.0599439613081668 -0.139143382807814 -0.0389409866392666 -0.0957802379165907 0.844872538078497 0.302015970725345 -0.037240638443422 -0.0296269023245038 0.687650190449214 0.128165967724773 -0.00820086486399577 -0.0650643334270495
Thermoplasmatota NA NA NA -0.0220420493072811 -0.0279350322757318 -0.077524324917567 -0.0429816130699284 0.1931934169281 NA NA 0.140170183869778 -0.00522734397724461 0.0380934244110634 -0.0150592035628697 0.243512333115877 -0.023371789610149 -0.0403192733898763 0.192932989296216 -0.0263248440729532 -0.0361546129282186 0.00914461750993289 -0.0219161104169643 -0.0361511129697442 1 -0.00767670703328638 0.709840509767654 -0.0592899372263137 0.388992486468659 -0.0194706642549224 -0.0513892803661182 -0.0154218274258872 -0.0412441165790017 0.17710148853881 -0.0215369632356314 -0.0358588368329407 -0.0603412981769744 -0.016392586342249 -0.0431067568432511 -0.0217266206215344 0.143756940036708 -0.017771174101479 0.00101811443919231 -0.00862726277399297 0.0069731472446895 -0.098891816070348 -0.1467286357215
Lentisphaerae NA NA NA -0.0322017006710621 -0.0301938277857931 -0.092738726328544 -0.0470511784265137 0.437783222059581 NA NA 0.122872252817416 -0.0203186129146058 0.122982103080475 -0.00567017950560623 0.254868513992656 -0.0290435490018436 -0.0518413303528006 0.266705186763406 -0.0454047807492196 -0.0427872927690089 0.0672104674878833 -0.0186150619230837 -0.0458452956587654 -0.00767670703328638 1 -0.0260446581356414 -0.0784684702414053 0.354643545526549 0.168717895364331 -0.0760086675230841 -0.0241754042631763 -0.0665264433147873 0.257369907941954 -0.0202884528973246 -0.0509460737320975 -0.0596670350323186 -0.0177022665793277 -0.0525299360549122 -0.039322928233041 0.24245481170556 -0.0212294759022161 -0.00569746255164008 -0.0223971062402378 0.00806797694615407 -0.0771150198776011 -0.231880103572711
Kiritimatiellaeota NA NA NA -0.0250059249480118 -0.0405028592333562 -0.118448227347878 -0.0657651951772885 0.082875781441992 NA NA 0.237296422318782 -0.0286497149041639 -0.0144819675133473 -0.0132486088682371 0.116960899019518 -0.00336224279537228 -0.0175978926153775 0.075502245093434 0.30348870239113 -0.0571780530900224 -0.0663570248354524 -0.0484601944247763 -0.0506297166750214 0.709840509767654 -0.0260446581356414 1 -0.0646510388028089 0.310341829244902 0.0487801752645947 0.0411836431914408 0.0555029025273001 0.272387724866767 0.126190883733201 -0.0388820626758051 0.0268446905246868 0.023063067519537 -0.00416139315502405 -0.0738787059481296 0.0793533695007335 0.108612557204962 -0.0296072695240697 0.000300504431707097 -0.0160479498639819 0.0731438049473971 -0.0437605523765788 -0.175622879176704
Candidatus.Aminicenantes NA NA NA 0.337575168541655 -0.101580681686681 0.0554211084997552 -0.156294845573867 -0.184671039000619 NA NA 0.171769322381531 0.232223863367088 -0.119484365612763 0.0532635064423707 0.178164923518516 -0.0288093690810889 -0.129701117794696 -0.305028660236847 0.114568112150011 -0.0949900525483246 -0.0496675022727238 -0.102896233319056 -0.140982347279995 -0.0592899372263137 -0.0784684702414053 -0.0646510388028089 1 -0.127745178568163 -0.0559786336027424 -0.178716231528927 0.32512295902361 0.0438954030275044 -0.0903841071930343 -0.0740695979255417 0.051249372435983 -0.135899764860834 -0.0792760597640051 -0.00436611058111715 -0.132610468600584 -0.166956847938885 -0.0638042742627478 -0.0835395966913189 0.00581043868567413 0.253810425279467 -0.0643871380095803 0.205915158287943
Candidatus.Eisenbacteria NA NA NA -0.0816819908452388 -0.082569527067838 0.0618304419790556 -0.102004459872973 0.346138967056115 NA NA 0.37416546886829 -0.0507893541297526 0.0558934318021899 -0.0978350028743917 0.374093862491791 -0.0399780673124765 -0.124916069119412 0.345751405173485 0.376024728971385 -0.0964825567564091 0.00600014235776276 -0.0386191321373917 -0.1145970429272 0.388992486468659 0.354643545526549 0.310341829244902 -0.127745178568163 1 0.0581271644158099 0.338221434153807 0.113757441200797 0.0314078841010295 0.228885964353234 -0.0583966390438348 -0.1237486825193 -0.007566701501581 0.668935509015596 -0.133671730363563 0.119245309759906 0.20092725268643 -0.0525392767477662 0.0559557650085105 -0.0177669141554861 0.129179847324989 -0.137549848790235 -0.247071554641937
Unclassified.Bacteria NA NA NA -0.00823102884526675 0.063819354559928 -0.00485022553566223 0.059230602579072 0.0715427190719563 NA NA 0.0122396764682265 -0.0379989284484049 0.0755343534993781 -0.0755929755408991 -0.0187886237981788 -0.0313195489854417 -0.0859749573343046 0.0233546750530295 0.0755700059625918 -0.0584698931891607 -0.0115796294361238 0.0482693636428323 -0.0857377477859783 -0.0194706642549224 0.168717895364331 0.0487801752645947 -0.0559786336027424 0.0581271644158099 1 -0.100703911673439 0.0886909617687408 -0.0218576912903446 0.0923204564296724 -0.0561992118521267 -0.0921463472015504 0.0165313309865586 0.000497640323554304 -0.0581657568760727 -0.104471120066341 0.0492880717725513 -0.0394153270690918 -0.0505152341962394 -0.0988811117741414 -0.208586752975713 -0.234423427392083 -0.25000559961435
Verrucomicrobia NA NA NA -0.0782468150342706 -0.0606820418999257 0.0524006276787497 -0.0968198568006655 -0.254067267830193 NA NA -0.00162088599988014 -0.0449702016858466 -0.221446900622906 -0.0141044250816046 -0.250608389731477 0.00391916061154754 0.569249921550232 -0.0796973795103112 0.228135646525251 -0.0802613153501676 -0.281477454404105 -0.124943943620294 0.462644789106543 -0.0513892803661182 -0.0760086675230841 0.0411836431914408 -0.178716231528927 0.338221434153807 -0.100703911673439 1 -0.0853327595692198 -0.0730454456811315 -0.254390503313377 0.097679730432414 -0.0850480138735694 0.110159964042354 0.660274363004062 0.0540340073327084 0.678775880937374 -0.0164793345562356 0.0610643297938315 -0.0183691896785834 0.209411735323731 0.20999031020124 0.0555419362536079 0.0586824641941952
