Candidatus.Falkowbacteria Chlamydiae Fibrobacteres Candidatus.Latescibacteria Candidatus.Parcubacteria Calditrichaeota Tenericutes Candidatus.Kariarchaeota Candidatus.Bathyarchaeota Spirochaetes candidate.division.WWE3 Candidatus.Rokubacteria candidate.division.Zixibacteria Candidatus.Schekmanbacteria Candidatus.Dadabacteria Candidatus.Krumholzibacteriota Candidatus.Hydrogenedentes Nitrospinae Euryarchaeota Ignavibacteriae Deinococcus.Thermus Thaumarchaeota Rhodothermaeota Thermoplasmatota Lentisphaerae Kiritimatiellaeota Candidatus.Aminicenantes Candidatus.Eisenbacteria Unclassified.Bacteria Verrucomicrobia Other.Proteobacteria Nitrospirae Thermodesulfobacteria Gemmatimonadetes Proteobacteria.Betaproteobacteria Firmicutes Planctomycetes Cyanobacteria Actinobacteria Bacteroidetes Acidobacteria Proteobacteria.Alphaproteobacteria Chloroflexi Proteobacteria.Deltaproteobacteria Proteobacteria.Gammaproteobacteria TOC..g.kg.
Candidatus.Falkowbacteria 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Chlamydiae NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Fibrobacteres NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Deinococcus.Thermus NA NA NA 0.269141329672637 0.463540142409801 0.117550972977063 0.536348378741878 0.730517994672146 NA NA 0.190889644451762 -0.127961269982665 0.813110709550622 0.163615082879734 0.366857162643813 0.288729009669358 0.0507053460433012 0.51909101461596 -0.295508851050541 0.137100886862844 1 0.415273000289799 -0.295508851050541 -0.291289951727013 0.613838581539743 0.157813733228098 0.085705899631207 0.0323600263648031 0.427931988136818 -0.234683310095433 0.0984152702271561 -0.0725192769093131 0.754167626146976 -0.068098865185924 0.136947922328482 0.142424313528459 -0.0850356309185117 0.0770829083923287 -0.32971409966956 0.213267553074884 -0.0461418906587254 0.333935726736437 -0.00821709554088455 -0.0699583913939529 -0.338056838873149 0.034804129931796
Thaumarchaeota NA NA NA 0.241605142549086 0.139428075329611 0.254058426127367 0.249615431867023 0.570150767486349 NA NA 0.261561731251236 -0.124974476773598 0.555193269279399 -0.103030046034648 0.300023391147478 -0.121356018304432 -0.232542691424977 0.330916115987208 -0.0726513511961017 -0.270289241710633 0.415273000289799 1 -0.288611265322793 -0.287970201000393 0.493771306098729 0.0637192775603902 0.0149282640816264 0.302485879967788 0.573018517544854 -0.45910696384956 0.0832205981882833 -0.222522562858904 0.441425206613624 -0.120408330479164 0.0038456735136518 0.362987409605574 -0.32535007971269 -0.243555203477367 -0.192562378286234 0.426001944720871 0.0333525122884984 0.140013211816099 -0.211005114595464 -0.343388591664457 -0.53236347877821 -0.279123618303908
Rhodothermaeota NA NA NA -0.103459064008162 -0.0860185690879301 -0.261432885095337 -0.103459064008162 -0.18868789425357 NA NA -0.215015790780628 -0.0372477687333319 -0.221594179845752 0.234459018578517 -0.155144825430069 -0.281757110750784 0.52272188058293 0.294043723444444 -0.0860185690879301 -0.215015790780628 -0.295508851050541 -0.288611265322793 1 0.451243170293182 -0.234786234615235 0.252703623374558 -0.155144825430069 -0.241409154727308 -0.374648343538014 0.431432606655267 0.0595673317371239 -0.147458035950853 -0.309441747510222 0.418630847802094 0.274123094187257 -0.261432885095337 0.105272140787806 -0.161966270102954 0.467938761994048 0.143929955133523 0.259115257408077 0.130258913503978 0.395231349582236 0.211056305606682 0.0389650287643583 -0.0789303988628543
Thermoplasmatota NA NA NA -0.0586624771130123 -0.161966270102954 -0.189263129767292 -0.194805364509325 -0.256248164916209 NA NA 0.198005084681532 0.271187310407546 -0.218814249575664 0.275649788439505 -0.0670807002600552 -0.0377331485910942 0.363131600175712 0.0166927232612067 0.144141410747708 -0.194540461374781 -0.291289951727013 -0.287970201000393 0.451243170293182 1 -0.158193094279301 0.401598251667759 0.0210648413588192 -0.116315394640859 -0.146896378485482 0.306915010703348 0.0121337723214771 0.214713045998662 -0.0655059551352448 0.286081020822728 0.199792642777331 -0.0630992856490221 0.207988807769568 -0.114393287435456 0.501011358641466 0.0714720501358962 0.323575193885176 0.237233216773015 0.212038033631584 0.399748575377883 0.211395299367772 -0.0477080958127727
Lentisphaerae NA NA NA 0.0729494595658961 0.398247908580567 0.0511730591790994 0.468580829743666 0.80309560240106 NA NA 0.184317766999788 -0.101667157003954 0.789095181245833 0.123556259959385 0.482778380875078 0.00210566452457736 -0.0911881545684363 0.68226240962714 -0.153600078762934 0.0492261784752646 0.613838581539743 0.493771306098729 -0.234786234615235 -0.158193094279301 1 0.215033437548784 -0.17143950765163 0.241601833929075 0.63347012190952 -0.232964831639774 0.128499779507693 -0.0251007848015761 0.697868074974924 0.148893994949832 0.0904342667639824 0.249243583356998 0.00473020633775639 -0.0451980269369432 -0.200012474804449 0.468881703230102 -0.034620665012253 0.525052903490959 0.0896051586936352 -0.22543733386989 -0.480545962040251 -0.24232138627582
Kiritimatiellaeota NA NA NA 0.373592482256063 0.0704396608218432 0.0705197220654732 0.120846483412218 0.188269220129001 NA NA 0.392047654487111 -0.127961269982665 0.286496229768066 0.46625349816449 -0.118613926363093 0.357489214736435 0.338082537575063 0.168070966809599 0.142380318982356 0.00291301151307435 0.157813733228098 0.0637192775603902 0.252703623374558 0.401598251667759 0.215033437548784 1 0.0823218633041086 -0.10361337757271 0.212798583829156 -0.091591087285826 0.352071469921744 0.378946551036698 0.237043097753344 0.299559620620443 0.593340336762394 0.0398896695087332 0.11953738069721 -0.330235157516677 0.215629653933732 0.222163124394374 0.258228718147279 0.264002464075025 0.173865700450704 0.144741499435765 -0.146802055504121 0.140586068522334
Candidatus.Aminicenantes NA NA NA 0.513439472372433 -0.155144825430069 0.151187580488165 -0.186600853686567 -0.0979251259955072 NA NA 0.215792336088338 0.249528784666107 0.0135187527835088 0.0639548825272719 0.0728788977519942 0.370635078485252 0.098313651307333 -0.352220333472878 0.0192787674230562 -0.0387692113383372 0.085705899631207 0.0149282640816264 -0.155144825430069 0.0210648413588192 -0.17143950765163 0.0823218633041086 1 -0.331229324849922 -0.00406379982725373 -0.17959728753453 0.119422170174156 0.18191446433218 0.136476088996276 0.0170846920093233 0.171820140033736 -0.207499786327698 -0.433515814228853 0.203626799801919 0.0268473731575081 -0.154883617134715 -0.0916350794302205 -0.186018654310007 0.147825462520825 0.291429225085677 -0.0262536966011995 0.276560967114755
Candidatus.Eisenbacteria NA NA NA -0.290355506443707 -0.241409154727308 -0.287443446859751 -0.0809835085999454 0.235354789821754 NA NA 0.108986664353535 -0.104535014482747 0.0333921871336793 -0.264157243335631 0.390505405174688 -0.227885209420659 -0.540803118398961 0.264365717587532 0.300902815904079 -0.0605704261132651 0.0323600263648031 0.302485879967788 -0.241409154727308 -0.116315394640859 0.241601833929075 -0.10361337757271 -0.331229324849922 1 0.351340690011873 -0.136439767408437 -0.0666792317633708 -0.0210038081425049 0.0782931416714024 -0.23084878314286 -0.299004200569697 0.137366681237398 0.358527453058645 -0.454554647612424 0.203679145380455 0.302458474835936 -0.190902256527836 0.274836453291003 -0.323880177479164 -0.220630231819879 0.000186275675158503 -0.469040102461798
Unclassified.Bacteria NA NA NA 0.17801355156245 0.372424757786167 0.271160509800924 0.361091626428649 0.526804103747466 NA NA 0.385362882913278 -0.16223026033094 0.6096229448432 0.123580101840971 0.14489778072585 0.320517560351557 -0.17577995155909 0.316799857964106 0.189521901872577 0.195941037082856 0.427931988136818 0.573018517544854 -0.374648343538014 -0.146896378485482 0.63347012190952 0.212798583829156 -0.00406379982725373 0.351340690011873 1 -0.222528907474053 0.145193162030572 0.17111365281132 0.596311784253152 0.0261308105232006 0.181237654072718 0.283157371613987 0.0832889285322053 -0.184318279588832 -0.106995730658078 0.377999869479398 -0.0847535052525579 0.367431192867046 -0.0411111824186904 -0.151549005000974 -0.311921400568224 -0.259762974642952
Verrucomicrobia NA NA NA -0.218191089366308 0.0698568465666885 -0.162451760254232 -0.00941578808719297 -0.285174107961788 NA NA -0.136311876921673 -0.0139715054523947 -0.273050930421298 -0.015711345831683 -0.286616685176341 -0.113514688407315 0.271729577453824 -0.00127898196581892 -0.036311220099547 0.0413277127865831 -0.234683310095433 -0.45910696384956 0.431432606655267 0.306915010703348 -0.232964831639774 -0.091591087285826 -0.17959728753453 -0.136439767408437 -0.222528907474053 1 0.0520446988270988 -0.180380712761473 -0.277677877107984 0.410572825967187 0.0916959839324525 0.0839498396970131 0.356844491005512 0.174994272964917 0.34104768832241 -0.0988620569133948 -0.0147902711815161 0.0476784956362317 0.234359251964196 0.195659486120487 0.188553325642983 0.199841552692717
Other.Proteobacteria NA NA NA 0.275335645127119 -0.110794207345109 0.0279045688657488 -0.04365562758883 0.0453818349712588 NA NA 0.269330830205305 -0.172051900509333 0.208283956675572 0.225065243946668 -0.119057370431885 0.139241976883701 -0.0686683364309247 0.0381623492923942 -0.205885704076714 0.118452969262414 0.0984152702271561 0.0832205981882833 0.0595673317371239 0.0121337723214771 0.128499779507693 0.352071469921744 0.119422170174156 -0.0666792317633708 0.145193162030572 0.0520446988270988 1 0.265351925760267 0.0906271419266849 0.138189429690894 0.475322010125448 -0.0346068812007931 0.0812822213061355 -0.341328993426799 0.157303301209439 0.157351568561759 -0.0221091007834853 0.0273675887651893 -0.135607126341798 0.187904802580039 0.0746213266860365 0.192567224043523
Nitrospirae NA NA NA 0.14345905268362 -0.179696862719392 0.276993163151894 -0.205281185884296 -0.144442363328878 NA NA 0.46105405312479 0.104866903495242 -0.0704745979402444 0.41812683852023 -0.0333784979019662 0.41358154389278 0.212051860456616 -0.244473485535152 0.390709978468318 0.216629118352339 -0.0725192769093131 -0.222522562858904 -0.147458035950853 0.214713045998662 -0.0251007848015761 0.378946551036698 0.18191446433218 -0.0210038081425049 0.17111365281132 -0.180380712761473 0.265351925760267 1 0.191706013681034 -0.106602331915342 0.541696793018169 -0.104498779800016 0.299865608437093 -0.320195715536397 0.262673719817542 -0.0260679581086649 0.344955322913478 0.26322631247791 0.0468021957563863 0.622868031306117 0.380375956475928 0.238016981969383
Thermodesulfobacteria NA NA NA 0.142285384922143 0.485389448990294 0.151487228598428 0.532372697031551 0.726339882356983 NA NA 0.364146623964735 0.108644184401218 0.808159568487366 0.325695184721717 0.486217444882724 0.267275385657744 0.133006887681937 0.581451539369475 -0.0136733161705504 0.0441765833034873 0.754167626146976 0.441425206613624 -0.309441747510222 -0.0655059551352448 0.697868074974924 0.237043097753344 0.136476088996276 0.0782931416714024 0.596311784253152 -0.277677877107984 0.0906271419266849 0.191706013681034 1 -0.0345489443510252 0.176907582418795 0.310021625856797 -0.0191413099466415 0.177354332359301 -0.184468462957815 0.352682991721668 0.252476549940607 0.569733996578253 0.206746060359953 0.105289650291669 -0.395246892903407 -0.0766293069554198
Gemmatimonadetes NA NA NA 0.253329472304927 0.00532504992311861 -0.124960827229751 -0.0337391396523492 0.0952618205977645 NA NA 0.309257415168816 -0.181585971761253 0.178894188016031 0.272991825707129 -0.239977256872271 -0.114783422723609 0.198883675564757 0.195637267908827 -0.0111621238773063 -0.186110917684589 -0.068098865185924 -0.120408330479164 0.418630847802094 0.286081020822728 0.148893994949832 0.299559620620443 0.0170846920093233 -0.23084878314286 0.0261308105232006 0.410572825967187 0.138189429690894 -0.106602331915342 -0.0345489443510252 1 0.295693029352621 -0.120966645537476 0.115591397849462 0.0480443862199482 0.272945468509985 0.354790706605223 -0.0566744285029755 0.190188172043011 0.449500768049155 0.0504512288786482 -0.185243855606759 0.232916496718797
Proteobacteria.Betaproteobacteria NA NA NA 0.519592545432928 -0.0394827501915803 0.345709630414732 -0.0949759667616271 0.0250708067094056 NA NA 0.52026884471815 -0.153871417220358 0.189609804784174 0.533808734671722 -0.208483030352353 0.390526582209099 0.474026281621208 -0.0282296531860377 -0.0298940822879108 0.105519393474059 0.136947922328482 0.0038456735136518 0.274123094187257 0.199792642777331 0.0904342667639824 0.593340336762394 0.171820140033736 -0.299004200569697 0.181237654072718 0.0916959839324525 0.475322010125448 0.541696793018169 0.176907582418795 0.295693029352621 1 -0.212152987319875 0.119700153322716 -0.385810921651843 0.279108068350076 0.129170406416923 0.25567944653153 0.111143274892418 0.121815336754925 0.41520089327241 0.0517258493876476 0.31242970629023
